n,prior_a,prior_b,prior_label,seed,nh,p_freq,p_bayes,pi_est,rel_err,alpha_post,beta_post
5000,10,10,"B(10,10)",14231,3894,0.7788,0.7776892430278884,3.1107569721115538,0.009815302261737987,3904,1116
5000,50,50,"B(50,50)",15231,3913,0.7826,0.7770588235294118,3.108235294117647,0.010617977296970556,3963,1137
5000,50,50,"B(50,50)",16231,3931,0.7862,0.7805882352941177,3.1223529411764708,0.006124190668493499,3981,1119
5000,50,50,"B(50,50)",17231,3931,0.7862,0.7805882352941177,3.1223529411764708,0.006124190668493499,3981,1119
5000,50,50,"B(50,50)",18231,3902,0.7804,0.7749019607843137,3.099607843137255,0.013364180236595464,3952,1148
5000,50,50,"B(50,50)",19231,3949,0.7898,0.7841176470588235,3.136470588235294,0.0016304040400165832,3999,1101
5000,10,5,"B(10,5)",20231,3942,0.7884,0.788035892323031,3.152143569292124,0.003358460776343651,3952,1063
5000,10,5,"B(10,5)",21231,3923,0.7846,0.784247258225324,3.136989032901296,0.0014653779773888104,3933,1082
5000,10,5,"B(10,5)",22231,3871,0.7742,0.7738783649052842,3.0955134596211367,0.014667462987603849,3881,1134
5000,10,5,"B(10,5)",23231,3910,0.782,0.7816550348953141,3.1266201395812563,0.00476589922994257,3920,1095
5000,10,5,"B(10,5)",24231,3919,0.7838,0.7834496510468594,3.1337986041874375,0.002480922978174659,3929,1086
5000,5,10,"B(5,10)",25231,3913,0.7826,0.7812562313060818,3.125024925224327,0.005273671730335424,3918,1097
5000,5,10,"B(5,10)",26231,3877,0.7754,0.7740777666999002,3.096311066799601,0.014413576737407494,3882,1133
5000,5,10,"B(5,10)",27231,3939,0.7878,0.7864406779661017,3.145762711864407,0.001327370774772096,3944,1071
5000,5,10,"B(5,10)",28231,3958,0.7916,0.7902293120638085,3.160917248255234,0.006151209528504416,3963,1052
5000,5,10,"B(5,10)",29231,3910,0.782,0.7806580259222333,3.1226321036889333,0.006035330480924774,3915,1100
10000,1,1,"B(1,1)",431,7956,0.7956,0.7955408918216357,3.1821635672865427,0.012914122921184755,7957,2045
10000,1,1,"B(1,1)",1431,7861,0.7861,0.7860427914417116,3.1441711657668465,0.0008207659176013876,7862,2140
10000,1,1,"B(1,1)",2431,7887,0.7887,0.7886422715456909,3.1545690861827635,0.00413052678174005,7888,2114
10000,1,1,"B(1,1)",3431,7745,0.7745,0.7744451109778044,3.0977804439112178,0.013945859476247694,7746,2256
10000,1,1,"B(1,1)",4431,7787,0.7787,0.7786442711457708,3.1145770845830834,0.008599322695716127,7788,2214
10000,2,2,"B(2,2)",5431,7879,0.7879,0.7877848860455817,3.151139544182327,0.003038869657918528,7881,2123
10000,2,2,"B(2,2)",6431,7854,0.7854,0.7852858856457418,3.141143542582967,0.00014295647346670266,7856,2148
10000,2,2,"B(2,2)",7431,7883,0.7883,0.7881847261095561,3.1527389044382246,0.0035479618389401986,7885,2119
10000,2,2,"B(2,2)",8431,7854,0.7854,0.7852858856457418,3.141143542582967,0.00014295647346670266,7856,2148
10000,2,2,"B(2,2)",9431,7907,0.7907,0.7905837664934027,3.1623350659736107,0.006602514925070223,7909,2095
10000,10,10,"B(10,10)",10431,7822,0.7822,0.7816367265469062,3.1265469061876248,0.004789210143134273,7832,2188
10000,10,10,"B(10,10)",11431,7827,0.7827,0.7821357285429141,3.1285429141716565,0.0041538610689151835,7837,2183
10000,10,10,"B(10,10)",12431,7801,0.7801,0.7795409181636727,3.1181636726546906,0.007457676254854674,7811,2209
10000,10,10,"B(10,10)",13431,7808,0.7808,0.7802395209580838,3.120958083832335,0.006568187550947921,7818,2202
10000,10,10,"B(10,10)",14431,7877,0.7877,0.787125748502994,3.148502994011976,0.002199629673276274,7887,2133
10000,50,50,"B(50,50)",15431,7816,0.7816,0.7788118811881188,3.1152475247524753,0.00838591496170392,7866,2234
10000,50,50,"B(50,50)",16431,7783,0.7783,0.7755445544554456,3.1021782178217823,0.012546004563313862,7833,2267
10000,50,50,"B(50,50)",17431,7851,0.7851,0.7822772277227723,3.1291089108910892,0.003973698717572164,7901,2199
10000,50,50,"B(50,50)",18431,7862,0.7862,0.7833663366336634,3.1334653465346536,0.0025870021837021834,7912,2188
10000,50,50,"B(50,50)",19431,7858,0.7858,0.782970297029703,3.131881188118812,0.0030912554687458128,7908,2192
10000,10,5,"B(10,5)",20431,7827,0.7827,0.782526210683974,3.130104842735896,0.003656683765404921,7837,2178
10000,10,5,"B(10,5)",21431,7838,0.7838,0.7836245631552671,3.1344982526210683,0.002258217964896973,7848,2167
10000,10,5,"B(10,5)",22431,7893,0.7893,0.7891163255117324,3.1564653020469295,0.004734111037642627,7903,2112
10000,10,5,"B(10,5)",23431,7923,0.7923,0.7921118322516225,3.16844732900649,0.008548108675391448,7933,2082
10000,10,5,"B(10,5)",24431,7824,0.7824,0.782226660009985,3.12890664003994,0.004038083529179803,7834,2181
10000,5,10,"B(5,10)",25431,7872,0.7872,0.7865202196704942,3.146080878681977,0.001428646418260268,7877,2138
10000,5,10,"B(5,10)",26431,7899,0.7899,0.7892161757363954,3.1568647029455814,0.004861244292234207,7904,2111
10000,5,10,"B(5,10)",27431,7845,0.7845,0.7838242636045931,3.1352970544183725,0.002003951455713671,7850,2165
10000,5,10,"B(5,10)",28431,7841,0.7841,0.7834248627059411,3.1336994508237646,0.0025124844740801334,7846,2169
10000,5,10,"B(5,10)",29431,7898,0.7898,0.7891163255117324,3.1564653020469295,0.004734111037642627,7903,2112
